time,double_support,RT_single_support,LT_single_support,Pelvis_A_X,Pelvis_A_Y,Pelvis_A_Z,Lower spine_A_X,Lower spine_A_Y,Lower spine_A_Z,Upper spine_A_X,Upper spine_A_Y,Upper spine_A_Z,Pelvis_Gyro_X,Pelvis_Gyro_Y,Pelvis_Gyro_Z,Lower spine_Gyro_X,Lower spine_Gyro_Y,Lower spine_Gyro_Z,Upper spine_Gyro_X,Upper spine_Gyro_Y,Upper spine_Gyro_Z
0.34,1,0,0,9.76355437060752,-0.139013333902016,0.9630676178346266,9.8449572265625,0.177619835690423,-0.07870937957886255,9.203311181640625,0.1382651458372485,3.5194764409200197,-2.494140625,0.2277832031,0.0549621582,-1.427734375,0.7626953125,-0.3388671875,-0.09613037109,0.5263671875,-0.9760742188
0.345,1,0,0,9.753977563966895,-0.1307084469224625,0.9600748657716895,9.82580361328125,0.17866729888303098,-0.0689829353350907,9.16979235888877,0.1512087986222275,3.5194764409200197,-2.126953125,0.2264404297,0.1028442383,-1.426757813,0.5786132813,-0.4611816406,-0.2634277344,0.4636230469,-1.104492188
0.35,1,0,0,9.7683427734375,-0.100406832113609,0.9361328491701271,9.80665,0.1919850456513605,-0.07758709755035785,9.13148513232627,0.157119483990658,3.552995263671875,-1.858398438,0.2326660156,0.2570800781,-1.588867188,0.5610351563,-0.666015625,-0.2731933594,0.7451171875,-1.221679688
0.355,1,0,0,9.74918916015625,-0.109684363528327,0.9277531433350635,9.797073193359376,0.1824082390107355,-0.07586626510926575,9.09796630859375,0.167743753823891,3.5601778688975103,-1.80078125,0.4270019531,0.2397460938,-1.348632813,0.5341796875,-0.7885742188,-0.02896118164,0.716796875,-1.123046875
0.36,1,0,0,9.76355437060752,-0.10512041667647799,0.9181763366944385,9.78270798388877,0.14776713372043002,-0.05364508094879535,9.069235888671875,0.17612345965895448,3.5793314821787603,-2.0390625,0.5073242188,0.2069091797,-0.8544921875,0.3962402344,-1.09375,0.162109375,0.6801757813,-0.9184570313
0.365,1,0,0,9.739612353515625,-0.085368252943414,0.891241568029939,9.7683427734375,0.1328033733076785,-0.06310965938460855,9.045293872560645,0.151807348975975,3.57693728076377,-2.39453125,0.580078125,0.2344970703,-0.3559570313,0.4345703125,-1.215820313,0.1486816406,0.421875,-0.7250976563
0.37,1,0,0,9.74440075732627,-0.0842459709149093,0.8942343200928761,9.7683427734375,0.07930792999144995,-0.0889595554385517,9.02135185546875,0.15225626181483548,3.574543078368115,-3.244140625,0.5698242188,0.5434570313,0.01191711426,0.4323730469,-1.233398438,0.3093261719,0.333984375,-0.2371826172
0.375,1,0,0,9.74918916015625,-0.09629179802216731,0.9044096770872485,9.76355437060752,0.0706289489795127,-0.0744821172728024,9.03571706592002,0.12195464710404849,3.5625720703125,-3.6484375,0.4138183594,0.2915039063,0.1155395508,0.4487304688,-1.375,0.005283355713,0.2030029297,-0.1885986328
0.38,1,0,0,9.74918916015625,-0.08738836060060645,0.9205705383055615,9.74440075732627,0.045826516147597494,-0.0783352855660921,9.07402429248252,0.118812257428158,3.548206860841895,-3.98046875,0.5703125,0.2335205078,-0.138671875,0.3686523438,-1.24609375,-0.25390625,0.1799316406,-0.04943847656
0.385,1,0,0,9.730035546875,-0.1003320133561655,0.9343371979127515,9.76355437060752,0.031199440388508,-0.0918774887048186,9.107543115234375,0.11566986775226751,3.552995263671875,-4.046875,0.4692382813,0.2802734375,-0.7495117188,0.1003417969,-1.060546875,-0.5903320313,0.3000488281,-0.1247558594
0.39,1,0,0,9.753977563966895,-0.1149964984449435,0.9343371979127515,9.7683427734375,0.0156745389909241,-0.083722239298992,9.13148513232627,0.13504793740391452,3.5601778688975103,-3.9453125,0.3393554688,0.2749023438,-1.290039063,0.1531982422,-0.88671875,-0.4616699219,0.3684082031,-0.2861328125
0.395,1,0,0,9.734823950685646,-0.1396867031112735,0.9307458953980006,9.7683427734375,0.01706803917451955,-0.07403320446336185,9.145850341796875,0.153528181475907,3.5601778688975103,-3.603515625,0.4111328125,0.03128051758,-1.359375,-0.06176757813,-0.7202148438,-0.5229492188,0.4965820313,-0.5161132813
0.4,1,0,0,9.74918916015625,-0.144175831205679,0.928351693688811,9.773131177248146,0.002160392904381215,-0.0602291355166767,9.160215552248145,0.1560720206999835,3.555389465086865,-3.27734375,0.29296875,0.07275390625,-1.484375,0.09722900391,-0.4870605469,-0.705078125,0.2893066406,-0.4755859375
0.405,1,0,0,9.74440075732627,-0.134673843420564,0.909796630859375,9.792284790529395,0.03022679596315015,-0.07044190196822415,9.165003955078125,0.15502455750737548,3.555389465086865,-3.1875,0.3330078125,0.06518554688,-1.331054688,0.001008033752,-0.2069091797,-0.6733398438,0.1579589844,-0.7041015625
